STT,Văn bản
1,"Giới thiệu CLB Lập Trình PTIT: Câu lạc bộ Lập Trình PTIT (Programming PTIT), tên viết tắt là PROPTIT được thành lập ngày 9/10/2011. Với phương châm hoạt động ""Chia sẻ để cùng nhau phát triển"", câu lạc bộ là nơi giao lưu, đào tạo các môn lập trình và các môn học trong trường, tạo điều kiện để sinh viên trong Học viện có môi trường học tập năng động sáng tạo. Slogan: Lập Trình PTIT - Lập trình từ trái tim"
2,"HOẠT ĐỘNG: Là nơi giao lưu, đào tạo các môn lập trình và các môn học trong trường. Nâng cao phong trào học lập trình của sinh viên trong Học viện Tạo điều kiện để sinh viên trong học viện có môi trường học tập năng động sáng tạo, và giúp đỡ sinh viên có thể đạt thành tích cao trong học tập. Hội tụ các bạn đam mê lập trình vào nghiên cứu các đề tài, dự án. Nâng cao các kĩ năng làm việc cần thiết cho sinh viên như: làm việc nhóm, kĩ năng thuyết trình, kĩ năng tổ chức sự kiện, kĩ năng quản lí nhân sự, dự án…."
3,"GIẢI THƯỞNG: Qua từng năm, các thành viên đã cùng nhau mang về nhiều giải thưởng danh giá cho Phòng Truyền Thống của CLB: Giải Khuyến Khích - Top 6 P-Innovation 2024, Jury Choice Award | Fossasia Hackathon 2024, Giải Nhì AI VietFuture 2023, Giải Nhì Kalapa Challenge Medical Question Answering 2023, Giải Khuyến Khích AI Tetris PTIT 2023, Giải Nhất ICPC PTIT 2023, 1st Runner-Up Junction Hackathon 2023 x Viettel, Huy chương vàng Olympic Toán 2023, Huy chương bạc Olympic Toán 2023, Giải Nhất ICPC PTIT 2022, Giải Ba Chuyên Tin 2022, Giải Ba ICPC Regional 2022, Giải Nhì UAVS Hackatrix 2021, Giải Nhì Cuộc Thi AICOVIDVN-115M Challenge, Giải Nhì ICPC PTIT 2020, Giải Nhì ICPC National 2020, Giải Nhất ICPC 2020, Top 3 Cuộc Thi GameJam Hà Nội 2020, Giải Nhì Cuộc Thi Digital Race PTIT 2020, Giải Nhất Cuộc Thi Vietnam AI Grand Challenge National 2019, Giải Nhì Kì Thi ICPC Asia Đà Nẵng 2019, Giải Ba - Huy Chương Đồng Vòng Quốc Tế 2019, Giải Nhất Phần thi AI - Code Battle 2019, GIải Ba Coding Inspiration 2018, Giải Vô Địch Chuyên Tin Olympic Tin Học Sinh Viên Việt Nam 2018"
4,"TEAM DỰ ÁN: Team AI, Team Mobile, Team Data, Team Game, Team Web, Team Backend"
5,"Hình thức tuyển thành viên CLB ? Quá trình tuyển thành viên của CLB sẽ gồm 3 vòng: đầu tiên là vòng CV, sau đó sẽ đến vòng Phỏng vấn và cuối cùng là vào vòng Traning của CLB. Thông tin chi tiết của các vòng sẽ được CLB cập nhật trên fanpage, các bạn hãy theo dõi để có được thông tin sớm nhất nhé."
6,Nhận được quyền lợi gì khi tham gia vào CLB ? Khi bạn vào CLB bạn sẽ có những lợi thế về các môn chuyên ngành trên trường. CLB sẽ giúp các bạn định hướng phát triển các kỹ năng lập trình. Bên cạnh đó CLB còn tổ chức các hoạt động ngoại khóa để các thành viên gắn kết hơn. Ngoài ra khi tham gia vào các CLB bạn sẽ được cộng 0.1 điểm khuyến khích học bổng (Đây sẽ là 1 lợi thế rất lớn khi xét học bổng tại Học Viện vào cuối kì bạn nhé).
7,Học ngành khác có thể tham gia CLB không ? Nếu bạn thuộc ngành khác bạn vẫn có thể tham gia CLB chúng mình. Nếu định hướng của bạn hoàn toàn là theo CNTT thì CLB chắc chắn là nơi phù hợp nhất để các bạn phát triển. Trở ngại lớn nhất sẽ là do bạn theo một hướng khác nữa nên sẽ phải tập trung vào cả 2 mảng nên sẽ cần cố gắng nhiều hơn.
8,Học trường khác có thể tham gia CLB không ? Chúng mình luôn chào đón các bạn sinh viên đến từ mọi khu vực.
9,"Tại sao CLB lại chỉ tuyển sinh viên năm nhất ? Các sinh viên lớn hơn năm nhất có sự chênh lệch về kiến thức, thời gian hoạt động. Vì vậy việc định hướng và hoạt động sẽ không phù hợp với lộ trình đào tạo của chúng mình."
10,CLB ngoài dạy thuật toán còn dạy gì nữa không ? Ngoài việc học thuật toán bạn cũng sẽ được học những kiến thức khác ví dụ như là về lập trình hướng đối tượng. Khi đã đủ lượng kiến thức bạn sẽ có thể được tham gia các team dự án để học thêm về lĩnh vực mình dự định sẽ theo đuổi sau này. Chi tiết bạn có thể tham khảo thêm tại mục Đào tạo của Website này nhé.
